stop_loss_percentage,reward_to_risk_ratio,points_achieved,gain_loss,CAGR
0.1,1.0,-3078.02029999998,-230851.52249999845,-52.08679543207795
0.1,1.5,-2655.6470249999275,-199173.52687499457,-42.11364756677245
0.1,2.0,-2392.573799999913,-179443.03499999346,-36.68717861175406
0.1,2.5,-2207.462924999976,-165559.71937499818,-33.1309362080658
0.1,3.0,-2011.3026499999996,-150847.69874999992,-29.55706083483821
0.1,3.5,-1399.1616999998532,-104937.12749998897,-19.41209134759685
0.1,4.0,-906.9893999999167,-68024.20499999374,-12.09626998289014
0.2,1.0,-1667.9992999999504,-125099.94749999633,-23.70212210868141
0.2,1.5,-1399.135600000076,-104935.17000000569,-19.411685878802466
0.2,2.0,30.730600000004415,2304.7950000003475,0.3844528437011663
0.2,2.5,359.0461499998346,26928.461249987646,4.403970995943629
0.2,3.0,-161.57259999995586,-12117.944999996645,-2.0460231546027052
0.2,3.5,72.55484999989676,5441.613749992248,0.905351424097578
0.2,4.0,819.9709000000275,61497.817500002064,9.800281819725832
0.3,1.0,-461.3793000000387,-34603.44750000285,-5.959723241426696
0.3,1.5,1775.5827749999717,133168.70812499788,20.222859430130292
0.3,2.0,369.29110000014407,27696.832500010816,4.5269249857432525
0.3,2.5,1060.0952000001853,79507.14000001393,12.509603361456723
0.3,3.0,1315.5052500000438,98662.89375000334,15.321929913531672
0.3,3.5,1032.1889250001132,77414.16937500851,12.19807855534276
0.3,4.0,1378.4918000001671,103386.88500001257,16.00505353131738
0.4,1.0,2300.6545999999835,172549.0949999988,25.544641390558386
0.4,1.5,1182.0404000000144,88653.0300000011,13.840690546977651
0.4,2.0,2415.155400000014,181136.65500000108,26.681821546268523
0.4,2.5,1891.7419999999856,141880.64999999892,21.3967938848989
0.4,3.0,2100.2690000000202,157520.17500000156,23.529365324269037
0.4,3.5,2504.9177000000236,187868.8275000018,27.566238831086753
0.4,4.0,3064.793000000025,229859.47500000193,32.95025120951589
0.5,1.0,1576.7282499998964,118254.61874999221,18.10240185410439
0.5,1.5,1851.2892500001526,138846.69375001144,20.97874867493792
0.5,2.0,1772.7867500000993,132959.00625000743,20.16335305881478
0.5,2.5,2392.6208750001006,179446.56562500756,26.458822898953095
0.5,3.0,3139.9035000001077,235492.76250000813,33.65609328527075
0.5,3.5,3713.1237500001425,278484.28125001065,38.92510830615843
0.5,4.0,3105.5770000001266,232918.27500000954,33.33397639612017
